year,Cities,Villages,Cropland,Rangeland,Seminatural,Wild,humanfactor
"10,000 BC",0,0,0,0,0.27085795,0.72914205,0
9000 BC,0,0,0,0,0.27456081,0.72543919,0
8000 BC,0.00000046,0,0,0.00000012,0.27734004,0.72265937,0.00000058
7000 BC,0.00000046,0,0,0.00000023,0.28024217,0.71975713,0.00000069
6000 BC,0.00000034,0.00000046,0.00000422,0.00000028,0.28364284,0.71635185,0.0000053
5000 BC,0.00000034,0.00000138,0.00007327,0.0000008,0.28560149,0.71432272,0.00007579
4000 BC,0.00000215,0.00000249,0.00116909,0.00000083,0.28723796,0.71158747,0.00117456
3000 BC,0.00000466,0.00000249,0.00209676,0.00000042,0.28874826,0.70914742,0.00210433
2000 BC,0.00001054,0.0000135,0.00313771,0.00000847,0.29147447,0.70535532,0.00317022
1000 BC,0.00003753,0.00003742,0.0065344,0.00775928,0.29205603,0.69357535,0.01436863
1 BC,0.00024498,0.00024745,0.01348184,0.01269776,0.28888666,0.68444131,0.02667203
100,0.0003314,0.00026699,0.01367961,0.01363195,0.29070366,0.68138639,0.02790995
200,0.00041439,0.00031887,0.0131413,0.01415376,0.2923033,0.67966837,0.02802832
300,0.00051537,0.00037863,0.01052234,0.01429754,0.29531875,0.67896738,0.02571388
400,0.00063723,0.00043142,0.0109674,0.01382144,0.29649518,0.67764732,0.02585749
500,0.00075919,0.00047017,0.01091886,0.0175552,0.29698505,0.67331153,0.02970342
600,0.00083621,0.0005396,0.01161883,0.02440931,0.29631212,0.66628393,0.03740395
700,0.00088809,0.00065283,0.01120179,0.02975584,0.29638527,0.66111618,0.04249855
800,0.00094813,0.00077627,0.01134159,0.03498623,0.29337356,0.65857423,0.04805222
900,0.00098645,0.0008831,0.01312136,0.03917744,0.28983779,0.65599386,0.05416835
1000,0.00101993,0.00097796,0.0139182,0.04193906,0.28849785,0.65364699,0.05785515
1100,0.00109429,0.00130653,0.01920857,0.04444527,0.28244658,0.65149876,0.06605466
1200,0.00119828,0.00160571,0.02252671,0.04684938,0.27991419,0.64790574,0.07218008
1300,0.00130183,0.0014057,0.02334576,0.04870456,0.27836911,0.64687304,0.07475785
1400,0.0013842,0.00135192,0.02064287,0.05170171,0.27974307,0.64517623,0.0750807
1500,0.0015937,0.00172305,0.02446623,0.05557557,0.27640784,0.6402336,0.08335855
1600,0.00170761,0.00233483,0.02404394,0.06353871,0.27537985,0.63299506,0.09162509
1700,0.00314305,0.00315589,0.0256405,0.07011417,0.27035173,0.62759467,0.10205361
