year,scenario45,scenario6,scenario85,
2015,0,0,0,0
2016,0.000823096,0.000842276,0.000270182,2.70182E-06
2017,0.001479801,0.001359412,0.000205735,2.05735E-06
2018,0.002021312,0.001786821,-0.000176982,-1.76982E-06
2019,0.002544116,0.001978335,-0.000963732,-9.63732E-06
2020,0.002124691,0.001093607,-0.003304154,-3.30415E-05
2021,0.000863956,-0.000647384,-0.007341517,-7.34152E-05
2022,0.000409579,-0.00150365,-0.009521813,-9.52181E-05
2023,-0.000773868,-0.003036726,-0.012675259,-0.000126753
2024,-0.002713461,-0.005492157,-0.017749725,-0.000177497
2025,-0.003811743,-0.006961556,-0.021352319,-0.000213523
2026,-0.004943993,-0.008663956,-0.02525583,-0.000252558
2027,-0.006259372,-0.01081692,-0.029904946,-0.000299049
2028,-0.007205047,-0.01229452,-0.033204142,-0.000332041
2029,-0.009148578,-0.014872481,-0.038589442,-0.000385894
2030,-0.010318241,-0.016814153,-0.042497911,-0.000424979
2031,-0.011495288,-0.018757272,-0.047062749,-0.000470627
2032,-0.012803283,-0.021085349,-0.051840263,-0.000518403
2033,-0.013805078,-0.022634344,-0.054876217,-0.000548762
2034,-0.015909586,-0.025543716,-0.060147991,-0.00060148
2035,-0.017808319,-0.028463701,-0.065304751,-0.000653048
2036,-0.018626,-0.030044053,-0.068639145,-0.000686391
2037,-0.02009251,-0.032201359,-0.073250584,-0.000732506
2038,-0.021298602,-0.033949104,-0.07706734,-0.000770673
2039,-0.022941841,-0.036129566,-0.080986715,-0.000809867
2040,-0.02400074,-0.03759993,-0.08392947,-0.000839295
2041,-0.024855343,-0.039253125,-0.087512232,-0.000875122
2042,-0.026383388,-0.041490992,-0.091854481,-0.000918545
2043,-0.027990197,-0.043700879,-0.095781293,-0.000957813
2044,-0.029361204,-0.046138944,-0.100130481,-0.001001305
2045,-0.031226463,-0.049002005,-0.105049282,-0.001050493
2046,-0.032512797,-0.051206586,-0.1092785,-0.001092785
2047,-0.033909895,-0.053633072,-0.113375849,-0.001133758
2048,-0.038330099,-0.058738825,-0.121021755,-0.001210218
2049,-0.04052371,-0.061405066,-0.125268819,-0.001252688
2050,-0.041962652,-0.063816116,-0.12918175,-0.001291817
2051,-0.044527935,-0.067336692,-0.134804017,-0.00134804
2052,-0.047832136,-0.071272618,-0.140545263,-0.001405453
2053,-0.049148499,-0.073112984,-0.14351677,-0.001435168
2054,-0.051157996,-0.075769577,-0.14746589,-0.001474659
2055,-0.053298932,-0.078246234,-0.151282646,-0.001512826
2056,-0.054816147,-0.080945761,-0.155614979,-0.00155615
2057,-0.056400312,-0.082981983,-0.158605821,-0.001586058
2058,-0.059972314,-0.087139814,-0.16394105,-0.001639411
2059,-0.062770448,-0.091071398,-0.169445824,-0.001694458
2060,-0.067876402,-0.096756998,-0.176944493,-0.001769445
2061,-0.069526533,-0.099174802,-0.180208492,-0.001802085
2062,-0.070601185,-0.100582453,-0.18247356,-0.001824736
2063,-0.072407862,-0.10325979,-0.186614534,-0.001866145
2064,-0.074500555,-0.105735963,-0.190211675,-0.001902117
2065,-0.076671028,-0.108577317,-0.194029422,-0.001940294
2066,-0.078729262,-0.110930478,-0.197329114,-0.001973291
2067,-0.0806851,-0.113218033,-0.1999184,-0.001999184
2068,-0.083144051,-0.116374395,-0.20389677,-0.002038968
2069,-0.08482618,-0.118705848,-0.207406659,-0.002074067
2070,-0.08567586,-0.119965402,-0.209157141,-0.002091571
2071,-0.087101017,-0.12185401,-0.211686442,-0.002116864
2072,-0.090104925,-0.124989629,-0.215418921,-0.002154189
2073,-0.092193187,-0.127945793,-0.219196018,-0.00219196
2074,-0.093923068,-0.130140726,-0.222272127,-0.002222721
2075,-0.096177722,-0.132756797,-0.224963538,-0.002249635
2076,-0.09896601,-0.136020253,-0.229148634,-0.002291486
2077,-0.100937601,-0.1385191,-0.232179136,-0.002321791
2078,-0.102738371,-0.140874673,-0.235372737,-0.002353727
2079,-0.105357313,-0.143786458,-0.238762656,-0.002387627
2080,-0.106744074,-0.145469079,-0.240954849,-0.002409548
2081,-0.108455247,-0.147465262,-0.243238755,-0.002432388
2082,-0.110857586,-0.150382352,-0.246602894,-0.002466029
2083,-0.112382677,-0.152449449,-0.24927497,-0.00249275
2084,-0.113023629,-0.153374698,-0.250531193,-0.002505312
2085,-0.11475351,-0.155879334,-0.253435775,-0.002534358
2086,-0.116709348,-0.158565835,-0.256898071,-0.002568981
2087,-0.119507974,-0.162097025,-0.261222969,-0.00261223
2088,-0.121753274,-0.164866982,-0.264452264,-0.002644523
2089,-0.123295103,-0.167345086,-0.267491193,-0.002674912
2090,-0.125619168,-0.170646651,-0.271492863,-0.002714929
2091,-0.12728456,-0.172915392,-0.274180307,-0.002741803
2092,-0.128646706,-0.174766372,-0.276433477,-0.002764335
2093,-0.129835568,-0.176498681,-0.278431338,-0.002784313
2094,-0.131243004,-0.178385359,-0.280774734,-0.002807747
2095,-0.132940394,-0.180621779,-0.283133002,-0.00283133
2096,-0.134739194,-0.182909334,-0.28566032,-0.002856603
2097,-0.136297268,-0.184928672,-0.288107823,-0.002881078
2098,-0.137003693,-0.186428463,-0.289856323,-0.002898563
2099,-0.137718487,-0.187673545,-0.291119982,-0.0029112
