code,year,humanfactor,extinctionfactor
Africa,50000,1.00000000,0.20000000
Africa,49000,1.00000000,0.20000000
Africa,48000,1.00000000,0.20000000
Africa,47000,1.00000000,0.20000000
Africa,46000,1.00000000,0.20000000
Africa,45000,1.00000000,0.20000000
Africa,44000,1.00000000,0.20000000
Africa,43000,1.00000000,0.20000000
Africa,42000,1.00000000,0.20000000
Africa,41000,1.00000000,0.20000000
Africa,40000,1.00000000,0.20000000
Africa,39000,1.00000000,0.20000000
Africa,38000,1.00000000,0.20000000
Africa,37000,1.00000000,0.20000000
Africa,36000,1.00000000,0.20000000
Africa,35000,1.00000000,0.20000000
Africa,34000,1.00000000,0.20000000
Africa,33000,1.00000000,0.20000000
Africa,32000,1.00000000,0.20000000
Africa,31000,1.00000000,0.20000000
Africa,30000,1.00000000,0.20000000
Africa,29000,1.00000000,0.20000000
Africa,28000,1.00000000,0.20000000
Africa,27000,1.00000000,0.20000000
Africa,26000,1.00000000,0.20000000
Africa,25000,1.00000000,0.20000000
Africa,24000,1.00000000,0.20000000
Africa,23000,1.00000000,0.20000000
Africa,22000,1.00000000,0.20000000
Africa,21000,1.00000000,0.20000000
Africa,20000,1.00000000,0.20000000
Africa,19000,1.00000000,0.20000000
Africa,18000,1.00000000,0.20000000
Africa,17000,1.00000000,0.20000000
Africa,16000,1.00000000,0.20000000
Africa,15000,1.00000000,0.20000000
Africa,14000,1.00000000,0.20000000
Africa,13000,1.00000000,0.20000000
Africa,12000,1.00000000,0.20000000
Africa,11000,1.00000000,0.20000000
Africa,10000,1.00000000,0.20000000
Africa,9000,1.00000000,0.20000000
Africa,8000,1.00000000,0.20000000
Africa,7000,1.00000000,0.20000000
Africa,6000,1.00000000,0.20000000
Africa,5000,1.00000000,0.20000000
Africa,4000,1.00000000,0.20000000
Africa,3000,1.00000000,0.20000000
Africa,2000,1.00000000,0.20000000
Africa,1000,1.00000000,0.20000000
Europe,50000,0.00000000,0.00000000
Europe,49000,0.00000000,0.00000000
Europe,48000,0.11111111,0.00000000
Europe,47000,0.22222222,0.00000000
Europe,46000,0.33333333,0.00000000
Europe,45000,0.44444444,0.00782609
Europe,44000,0.55555556,0.01565217
Europe,43000,0.66666667,0.02347826
Europe,42000,0.77777778,0.03130435
Europe,41000,0.88888889,0.03913043
Europe,40000,1.00000000,0.04695652
Europe,39000,1.00000000,0.05478261
Europe,38000,1.00000000,0.06260870
Europe,37000,1.00000000,0.07043478
Europe,36000,1.00000000,0.07826087
Europe,35000,1.00000000,0.08608696
Europe,34000,1.00000000,0.09391304
